ctrc,data_emissao,ultima_ocorrencia,historico,codigo,codigo_consulta,descricao_ocorrencia,complemento_ocorrencia,descricao_codigo,nf,remetente,destinatario,filial,valor_mercadoria,data_ocorrencia,cidade,uf,aging_dias,status_ace
DCX087350-1,03/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 05/08/26 18:00H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: CARIMBO (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,19824,19142808000131�,61424600000171�,DCX,"29.985,89",05/08/26,GUARULHOS,,15,solucionada
DCX087351-9,03/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 05/08/26 18:00H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: 62943321 (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,191525,02462686000168�,61835715000159�,DCX,"3.656,90",05/08/26,SAO PAULO,,15,solucionada
DCX087353-5,03/08/2026,ENTREGA REALIZADA COM RESSALVAS,"ENTREGA REALIZADA COM RESSALVAS EM 19/08/26 21:28H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,"NAO TEM NECESSIDADE DE AGENDAMENTO, SEGUNDO OC DO SAC",PENDENCIA SOLUCIONADA,4107,41900874000182�,43702445000126�,DCX,"9.933,32",19/08/26,SAO PAULO,,1,solucionada
DCX087354-3,03/08/2026,SAIDA PARA ENTREGA,Saida para entrega na cidade de ITAPECERICA DA SERRA.,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,"LIBERADO SEM AGENDAMENTO, CONFORME OC DO SAC",PENDENCIA SOLUCIONADA,4109,41900874000182�,11802609000109�,DCX,"9.486,11",03/08/2026,ITAPECERICA DA SERRA,,17,solucionada
DCX087355-1,03/08/2026,ENTREGA PREJUDICADA PELO HORARIO,ENTREGA PREJUDICADA PELO HORARIO EM 19/08/26 21:27H,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,"NAO TEM NECESSIDADE DE AGENDAMENTO, CONFORME OC DO SAC",PENDENCIA SOLUCIONADA,4108,41900874000182�,41986569000155�,DCX,"9.549,78",19/08/26,SAO PAULO,,1,solucionada
DCX087357-8,03/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 05/08/26 18:12H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,191589,02462686000168�,07195937000109�,DCX,"5.910,78",05/08/26,SAO PAULO,,15,solucionada
DCX087378-1,03/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 14/08/26 14:33H E FOI RECEBIDO POR GILSON, PARENTESCO: PROPRIETARIO, DOC N.: 0221712240 (SSWMOBILE)",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,12102234,63496935000120�,00002217122240�,ATM,"1.000,00",14/08/26,ALTAMIRA,,6,solucionada
DCX087425-6,04/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 13/08/26 08:47H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,191616,02462686000168�,17436996000185�,DCX,"3.752,71",13/08/26,SAO PAULO,,7,solucionada
DCX087532-5,06/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 13/08/26 08:47H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,19889,19142808000131�,59696207000195�,DCX,"10.015,99",13/08/26,SAO PAULO,,7,solucionada
DCX087720-4,11/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,NAO TEM NECESSIDADE DE AGENDAMENTO - SEGUNDO OC DO SAC,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,NAO TEM NECESSIDADE DE AGENDAMENTO - SEGUNDO OC DO SAC,PENDENCIA SOLUCIONADA,4183,41900874000182�,31681285000105�,DCX,"9.936,47",11/08/2026,SAO PAULO,,9,solucionada
