ctrc,data_emissao,ultima_ocorrencia,historico,codigo,codigo_consulta,descricao_ocorrencia,complemento_ocorrencia,descricao_codigo,nf,remetente,destinatario,filial,valor_mercadoria,data_ocorrencia,cidade,uf,aging_dias,status_ace
SPO325663-4,07/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 11/08/26 15:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,436097,78534674000163�,36538312000109�,MTZ,"8.350,69",11/08/26,PETROPOLIS,,9,solucionada
SPO325666-9,07/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 13/08/26 16:00H E FOI RECEBIDO POR LUCIANA COSTA, PARENTESCO: , DOC N.: LUCIANA COSTA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,574768,75284224000171�,02280912000190�,MTZ,"48.033,10",13/08/26,LINHARES,,7,solucionada
SPO325688-0,07/08/2026,ENTREGA REALIZADA COM RESSALVAS,"ENTREGA REALIZADA COM RESSALVAS EM 12/08/26 17:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: CARIMBO (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,LIBERADA COM A FALTA DE 2 VOLUMES PARA ANALISE DO CLIENTE,PENDENCIA SOLUCIONADA,1818768,01358874001311�,47508411264641�,DCX,"202.104,80",12/08/26,DUQUE DE CAXIAS,,8,solucionada
SPO325689-8,07/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 11/08/26 15:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: CARIMBO (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,261909,11520001000183�,02331789000199�,LEO,"6.311,46",11/08/26,SAO GONCALO,,9,solucionada
SPO325691-0,07/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 11/08/26 15:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,261908,11520001000183�,51357484000161�,LEO,"11.266,32",11/08/26,RIO DE JANEIRO,,9,solucionada
SPO325751-7,07/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 13/08/26 11:00H E FOI RECEBIDO POR CARIMBO, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA PARA CARREGAMENTO,PENDENCIA SOLUCIONADA,419063,60745411000642�,55904376000112�,LEO,"7.872,00",13/08/26,GOIANIA,,7,solucionada
SPO325809-2,07/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 19/08/26 15:00H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,198810,24447350000754�,57688657000100�,SPO,"3.870,95",19/08/26,SAO BERNARDO DO CAMPO,,1,solucionada
SPO325810-6,08/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 10/08/26 16:51H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,VOLUMES NA TOTALIDADE,PENDENCIA SOLUCIONADA,21151,15147507000301�,07954091000224�,SPO,"170.847,77",10/08/26,CRUZEIRO,,10,solucionada
SPO325821-1,08/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 17/08/26 15:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,307646,72899016000512�,07173309005000�,LEO,"1.834,18",17/08/26,NITEROI,,3,aberta
SPO325828-9,08/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 17/08/26 18:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: RG (OPC 038).",80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,307655,72899016000512�,49930514002693�,LEO,"676,04",17/08/26,RIO DE JANEIRO,,3,aberta
SPO325948-0,10/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 14/08/26 18:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,72993,04155026000674�,01032275000684�,SPO,"81.539,37",14/08/26,NUCLEO BANDEIRANTE,,6,solucionada
SPO325985-4,11/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 13/08/26 08:47H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,438131,78534674000163�,16483037000239�,MTZ,"2.896,30",13/08/26,SAO PAULO,,7,aberta
SPO326025-9,11/08/2026,ENTREGA REALIZADA,ENTREGA REALIZADA (SSWMOBILE),63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,MERCADORIA LOCALIZADA EM SPO,PENDENCIA SOLUCIONADA,473071,58635830000175�,73405557000186�,SPO,"4.636,80",11/08/2026,BRASILIA,,9,solucionada
SPO326128-0,12/08/2026,ENTREGA AGENDADA,"Agendamento da entrega confirmado (opc 015): dia/hora: 03/09/26 07:00, Contato: CASSIA, Fone: 1120850530, Observacoes: SENHA: SQZR949.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,34926,50590553000624�,93209765057224�,SPO,"39.012,16",03/09/26,SINOP,,0,solucionada
SPO326143-3,12/08/2026,CHEGADA EM UNIDADE,"Chegada na unidade SAO PAULO em 17/08/26, 19:18h.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,34917,50590553000624�,75315333023745�,SPO,"38.711,11",17/08/26,TRES LAGOAS,,3,solucionada
SPO326168-9,12/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 17/08/26 17:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: CARIMBO, DOC N.: CPF (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,438378,78534674000163�,40409666000112�,MTZ,"1.778,85",17/08/26,RIO DE JANEIRO,,3,solucionada
SPO326170-1,12/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 17/08/26 16:40H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: CARIMBO, DOC N.: CPF (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,437786,78534674000163�,42553434000169�,MTZ,"5.578,33",17/08/26,RIO DE JANEIRO,,3,solucionada
SPO326171-9,12/08/2026,ENTREGA REALIZADA,"ENTREGUE EM 18/08/26 09:47H E FOI RECEBIDO POR DANIEL, PARENTESCO: FUNCIONARIO, DOC N.: 16664472775 (SSWMOBILE)",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,438381,78534674000163�,36538312000109�,MTZ,"12.598,40",18/08/26,PETROPOLIS,,2,solucionada
SPO326173-5,12/08/2026,SAIDA PARA ENTREGA,Saida para entrega na cidade de RIO DAS OSTRAS.,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,438380,78534674000163�,36519400000155�,MTZ,"6.781,00",12/08/2026,RIO DAS OSTRAS,,8,solucionada
SPO326174-3,12/08/2026,SAC EM TRATATIVA,OC ENVIADA PRO FORNECEDOR,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,438379,78534674000163�,05157745000182�,MTZ,"4.594,00",12/08/2026,SAQUAREMA,,8,solucionada
SPO326196-4,12/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,1819787,01358874001311�,15436940003463�,DCX,"300.603,43",12/08/2026,BRASILIA,,8,solucionada
SPO326197-2,12/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,1820004,01358874001311�,06626253057935�,DCX,"454.002,42",12/08/2026,HIDROLANDIA,,8,solucionada
SPO326200-6,12/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,1819788,01358874001311�,61412110095350�,DCX,"180.545,92",12/08/2026,HIDROLANDIA,,8,solucionada
SPO326242-1,12/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 17/08/26 16:40H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: CARIMBO, DOC N.: CPF (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,420558,60745411000642�,36293400000180�,LEO,"21,00",17/08/26,RIO DE JANEIRO,,3,solucionada
SPO326246-4,12/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 17/08/26 15:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,420624,60745411000642�,05249741000124�,LEO,"20.684,80",17/08/26,SAO GONCALO,,3,solucionada
SPO326247-2,12/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 18/08/26 17:00H E FOI RECEBIDO POR PAULA BRANDAO, PARENTESCO: , DOC N.: 17430637760 (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,420541,60745411000642�,29242941000113�,LEO,"156.155,70",18/08/26,SAO JOAO DE MERITI,,2,solucionada
SPO326254-5,12/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 17/08/26 17:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,420431,60745411000642�,46422022000140�,LEO,"3.465,00",17/08/26,DUQUE DE CAXIAS,,3,solucionada
SPO326256-1,12/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 17/08/26 17:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,420407,60745411000642�,46422022000140�,LEO,"6.615,00",17/08/26,DUQUE DE CAXIAS,,3,solucionada
SPO326268-5,12/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 19/08/26 13:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: ASSINATURA (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,200487,57688657000100�,07808221000130�,SPO,"33.040,00",19/08/26,DUQUE DE CAXIAS,,1,solucionada
SPO326269-3,12/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,200416,57688657000100�,33438250000167�,SPO,"1.401,84",12/08/2026,RIO DE JANEIRO,,8,solucionada
SPO326270-7,12/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,200434,57688657000100�,33438250000167�,SPO,"7.626,96",12/08/2026,RIO DE JANEIRO,,8,solucionada
SPO326280-4,12/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,174505,40595809000390�,39621479000119�,LEO,"3.202,91",12/08/2026,COLATINA,,8,solucionada
SPO326281-2,12/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,174506,40595809000390�,03845717004462�,LEO,"14.545,19",12/08/2026,SERRA,,8,solucionada
SPO326306-1,12/08/2026,ENTREGA REALIZADA,ENTREGA REALIZADA NORMALMENTE (SSWMOBILE),63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,420751,60745411000642�,00758522000157�,LEO,"3.720,00",12/08/2026,HIDROLINA,,8,solucionada
SPO326332-1,13/08/2026,CTE BAIXADO,ENVIADO AO SEFAZ INDEVIDAMENTE,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,MERCADORIA NA TOTALIDADE,PENDENCIA SOLUCIONADA,135524,76343748000159�,05161069000544�,APS,"36.693,96",13/08/2026,ANAPOLIS,,7,solucionada
SPO326334-7,13/08/2026,ENTREGA AGENDADA,"ENTREGA AGENDADA P/ 24/08/26 09:00 - CONTATO ELAINE, FONE 00.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,174507,40595809000390�,27751320000300�,LEO,"29.785,37",24/08/26,SERRA,,0,solucionada
SPO326335-5,13/08/2026,ENTREGA AGENDADA,"ENTREGA AGENDADA P/ 28/08/26 09:00 - CONTATO THAINA, FONE 00.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,174503,40595809000390�,27735448001262�,LEO,"19.647,05",28/08/26,CACHOEIRO DE ITAPEMIRIM,,0,solucionada
SPO326336-3,13/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 19/08/26 14:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: CARIMBO (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,174510,40595809000390�,08198623000203�,LEO,"24.297,34",19/08/26,DUQUE DE CAXIAS,,1,solucionada
SPO326337-1,13/08/2026,SAIDA PARA ENTREGA,Saida para entrega na cidade de RESENDE.,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,174512,40595809000390�,05868574001252�,LEO,"4.189,43",13/08/2026,RESENDE,,7,solucionada
SPO326380-1,13/08/2026,CHEGADA EM UNIDADE,"Chegada na unidade RIO DE JANEIRO em 17/08/26, 07:21h.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,VOLUMES NA TOTALIDADE,PENDENCIA SOLUCIONADA,21185,15147507000301�,56998701001279�,SPO,"293.513,49",17/08/26,RIO DE JANEIRO,,3,solucionada
SPO326386-0,13/08/2026,SAIDA PARA ENTREGA,Saida para entrega na cidade de SAO VICENTE.,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,SEGUIR COM A ENTREGA,PENDENCIA SOLUCIONADA,633,23455239000232�,27212630000186�,VIX,"1.430,88",13/08/2026,SAO VICENTE,,7,solucionada
SPO326428-9,13/08/2026,ENTREGA AGENDADA,"Agendamento da entrega confirmado (opc 015): dia/hora: 21/08/26 07:50, Contato: MARCELA, Fone: 000, Observacoes: SENHA: 0600018800.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,308308,72899016000512�,33438250000167�,LEO,"13.006,97",21/08/26,RIO DE JANEIRO,,0,solucionada
SPO326429-7,13/08/2026,SAIDA PARA ENTREGA,Saida para entrega na cidade de BELFORD ROXO.,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,308328,72899016000512�,01321974000300�,LEO,"4.208,93",13/08/2026,BELFORD ROXO,,7,solucionada
SPO326430-1,13/08/2026,SAIDA PARA ENTREGA,Saida para entrega na cidade de BELFORD ROXO.,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,308329,72899016000512�,01321974000300�,LEO,"3.367,15",13/08/2026,BELFORD ROXO,,7,solucionada
SPO326431-9,13/08/2026,ENTREGA AGENDADA,"Agendamento da entrega confirmado (opc 015): dia/hora: 26/08/26 07:00, Contato: BIANCA, Fone: 0000, Observacoes: SENHA: 851100.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,308342,72899016000512�,61585865065954�,LEO,"72.368,94",26/08/26,DUQUE DE CAXIAS,,0,solucionada
SPO326432-7,13/08/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 19/08/26 13:00H E FOI RECEBIDO POR ASSINATURA, PARENTESCO: , DOC N.: CARIMBO (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,308365,72899016000512�,15436940003544�,LEO,"39.090,84",19/08/26,BELFORD ROXO,,1,solucionada
SPO326433-5,13/08/2026,ENTREGA AGENDADA,"Agendamento da entrega confirmado (opc 015): dia/hora: 26/08/26 13:45, Contato: BIANCA, Fone: 0000, Observacoes: SENHA: 245678009999.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,308366,72899016000512�,15436940001410�,LEO,"11.731,58",26/08/26,SAO JOAO DE MERITI,,0,solucionada
SPO326434-3,13/08/2026,PALETIZACAO EFETUADA,PALETIZACAO EFETUADA - QTDE PALLETS: 2 - VALE PALLET LEO000560-6,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,308371,72899016000512�,05424008000441�,LEO,"9.648,16",13/08/2026,RIO DE JANEIRO,,7,solucionada
SPO326435-1,13/08/2026,SAIDA PARA ENTREGA,Saida para entrega na cidade de SAO JOAO DE MERITI.,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,308372,72899016000512�,28763118001758�,LEO,"6.450,84",13/08/2026,SAO JOAO DE MERITI,,7,solucionada
SPO326436-0,13/08/2026,SAIDA PARA ENTREGA,Saida para entrega na cidade de SAO JOAO DE MERITI.,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,308373,72899016000512�,28763118001758�,LEO,"10.864,51",13/08/2026,SAO JOAO DE MERITI,,7,solucionada
SPO326437-8,13/08/2026,ENTREGA AGENDADA,"Agendamento da entrega confirmado (opc 015): dia/hora: 24/08/26 08:00, Contato: MICHELLE, Fone: 0000, Observacoes: SENHA: 2287179.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,308376,72899016000512�,43015537000219�,LEO,"24.835,92",24/08/26,RIO DE JANEIRO,,0,solucionada
SPO326438-6,13/08/2026,ENTREGA AGENDADA,"Agendamento da entrega confirmado (opc 015): dia/hora: 21/08/26 07:50, Contato: MARCELA, Fone: 000, Observacoes: SENHA: 0600018801.",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,308381,72899016000512�,33438250000167�,LEO,"139.575,31",21/08/26,RIO DE JANEIRO,,0,solucionada
SPO326439-4,13/08/2026,PALETIZACAO EFETUADA,PALETIZACAO EFETUADA - QTDE PALLETS: 66 - VALE PALLET LEO000566-5,80,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA EM TRATATIVA,308340,72899016000512�,61585865065954�,LEO,"426.359,03",13/08/2026,DUQUE DE CAXIAS,,7,aberta
SPO326629-0,17/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,80,OCORRENCIA / PENDENCIA EM TRATATIVA,OCORRENCIA / PENDENCIA EM TRATATIVA,PENDENCIA SOLUCIONADA,439125,78534674000163�,05150916000141�,MTZ,"13.198,26",17/08/2026,SAO PAULO,,3,solucionada
SPO326764-4,18/08/2026,DOCUMENTO DE TRANSPORTE EMITIDO,Subcontrato autorizado com 1 volume e 45 Kg. Destino: RJ/CAMPOS DOS GOYTACAZES. Previsao de entrega: 27/08/26,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,BIPAGEM INDEVIDA,PENDENCIA SOLUCIONADA,6166,14197209001092�,32942533000189�,SPO,"6.927,71",27/08/26,CAMPOS DOS GOYTACAZES,,0,solucionada
SPO326876-4,18/08/2026,CTE BAIXADO,ENVIADO AO SEFAZ INDEVIDAMENTE,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,BIPAGEM INDEVIDA,PENDENCIA SOLUCIONADA,75012,47866165000104�,05161069000544�,APS,"153.016,68",18/08/2026,ANAPOLIS,,2,solucionada
SPO326893-4,18/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,35557,50590553000624�,28129260002809�,SPO,"77.543,26",18/08/2026,SERRA,,2,solucionada
SPO326973-6,19/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,BIPAGEM INDEVIDA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,BIPAGEM INDEVIDA,PENDENCIA SOLUCIONADA,71886,61409215000155�,05161069000544�,APS,"3.138,66",19/08/2026,ANAPOLIS,,1,solucionada
SPS003324-3,30/07/2026,CTE BAIXADO,LIMPEZA RELATORIO EM 11/08/26 08:00H (OPC 038).,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,VOLUME LOCALIZADO,PENDENCIA SOLUCIONADA,3007,05112286000110�,05112286000382�,SPO,"500,00",11/08/26,GOIANIA,,9,solucionada
SPS003325-1,30/07/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,14,42058467000132�,05112286000110�,SPO,"6.436,47",30/07/2026,GUARULHOS,,21,solucionada
SPS003339-1,05/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,1,05112286000110�,05112286000978�,SPO,"10,00",05/08/2026,SERRA,,15,solucionada
SPS003344-8,05/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,5082026,05112286000110�,05112286000978�,SPO,"1,00",05/08/2026,SERRA,,15,solucionada
VIS000694-7,29/07/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 05/08/26 17:00H E FOI RECEBIDO POR CATILCE, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,64808,05112286000978�,05112286000382�,VIX,"0,01",05/08/26,GOIANIA,,15,solucionada
VIS000695-5,29/07/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,25,05112286000978�,05112286000544�,VIX,"0,01",29/07/2026,RIO DE JANEIRO,,22,solucionada
VIS000703-0,13/08/2026,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,5660189,05112286000978�,05112286000110�,VIX,"0,03",13/08/2026,GUARULHOS,,7,solucionada
VIX007969-3,06/07/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 05/08/26 18:00H E FOI RECEBIDO POR LIVIA, PARENTESCO: , DOC N.: 342642145 (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,OCORRENCIA / PENDENCIA SOLUCIONADA,PENDENCIA SOLUCIONADA,3479,60453002000168�,26568308000121�,VIX,"36,60",05/08/26,MOGI DAS CRUZES,,15,solucionada
VIX008742-4,31/07/2026,ENTREGA REALIZADA,"ENTREGA REALIZADA EM 14/08/26 18:53H E FOI RECEBIDO POR RUBRICA, PARENTESCO: , DOC N.: (OPC 038).",63,61,OCORRENCIA / PENDENCIA SOLUCIONADA,VOLUMES LOCALIZADOS - PENDENCIA FINALIZADA,PENDENCIA SOLUCIONADA,27269,26301600000183�,08718972002686�,VIX,"5.415,93",14/08/26,SAO PAULO,,6,solucionada
